gait,speed,angle,verdict,wall_s,detail,when
galloping,0.8,105,PASS,96.6,[runner] run 669 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:08:13
galloping,0.8,120,PASS,96.6,[runner] run 670 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:09:53
galloping,0.8,135,PASS,96.6,[runner] run 671 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:11:32
galloping,0.8,150,PASS,96.6,[runner] run 672 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:13:12
galloping,0.8,165,PASS,96.6,[runner] run 673 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:14:52
pronking,0.6,30,PASS,110.6,[runner] run 674 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:16:45
pronking,0.6,45,PASS,110.6,[runner] run 675 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:18:39
pronking,0.6,60,PASS,110.6,[runner] run 676 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:20:33
pronking,0.6,75,PASS,110.7,[runner] run 677 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:22:26
pronking,0.6,90,PASS,110.7,[runner] run 678 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:24:20
pronking,0.6,105,PASS,112.6,[runner] run 679 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:26:16
pronking,0.6,120,PASS,112.6,[runner] run 680 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:28:11
pronking,0.6,135,PASS,112.6,[runner] run 681 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:30:07
pronking,0.6,150,PASS,112.6,[runner] run 682 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:32:02
pronking,0.6,165,PASS,112.7,[runner] run 683 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:33:58
trotRunning,3.5,30,PASS,54.5,[runner] run 684 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:34:56
trotRunning,3.5,45,PASS,54.6,[runner] run 685 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:35:53
trotRunning,3.5,60,PASS,54.6,[runner] run 686 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:36:51
trotRunning,3.5,75,PASS,56.6,[runner] run 687 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:37:50
trotRunning,3.5,90,PASS,58.6,[runner] run 688 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:38:52
trotRunning,3.5,105,PASS,60.6,[runner] run 689 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:39:56
trotRunning,3.5,120,PASS,62.6,[runner] run 690 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:41:01
trotRunning,3.5,135,PASS,62.5,[runner] run 691 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:42:07
trotRunning,3.5,150,PASS,62.6,[runner] run 692 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:43:12
trotRunning,3.5,165,PASS,62.6,[runner] run 693 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:44:18
trotting,2.5,30,PASS,56.6,[runner] run 694 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:45:18
trotting,2.5,45,PASS,56.5,[runner] run 695 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:46:17
trotting,2.5,60,PASS,56.5,[runner] run 696 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:47:17
trotting,2.5,75,PASS,58.5,[runner] run 697 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:48:18
trotting,2.5,90,PASS,58.6,[runner] run 698 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:49:20
trotting,2.5,105,PASS,62.6,[runner] run 699 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:50:25
trotting,2.5,120,PASS,62.5,[runner] run 700 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:51:31
trotting,2.5,135,PASS,62.6,[runner] run 701 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:52:37
trotting,2.5,150,PASS,62.6,[runner] run 702 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:53:42
trotting,2.5,165,PASS,62.6,[runner] run 703 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0,2026-08-28 15:54:48
trotting,3.0,45,FELL,43.1,[runner] run 981 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 03:39:31
trotting,3.0,90,FELL,50.1,[runner] run 982 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 03:40:25
trotting,3.0,135,FELL,52.4,[runner] run 983 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 03:41:20
trotting,3.5,45,FELL,43.7,[runner] run 984 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 03:42:08
trotting,3.5,90,FELL,60.1,[runner] run 985 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 03:43:11
trotting,3.5,135,FELL,204.3,[runner] run 986 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 03:46:39
trotRunning,4.0,45,PASS,70.9,[runner] run 987 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:47:54
trotRunning,4.0,90,PASS,69.4,[runner] run 988 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:49:07
trotRunning,4.0,135,PASS,74.3,[runner] run 989 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:50:24
trotRunning,4.5,45,PASS,72.3,[runner] run 990 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:51:41
trotRunning,4.5,90,PASS,76.7,[runner] run 991 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:53:01
trotRunning,4.5,135,PASS,82.0,[runner] run 992 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:54:27
walking,2.0,45,PASS,77.6,[runner] run 993 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:55:50
walking,2.0,90,PASS,85.4,[runner] run 994 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:57:19
walking,2.0,135,PASS,96.5,[runner] run 995 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 03:59:01
walking,2.5,45,PASS,86.6,[runner] run 996 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:00:32
walking,2.5,90,PASS,88.6,[runner] run 997 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:02:06
walking,2.5,135,FELL,220.3,[runner] run 998 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 04:05:52
bounding,1.5,45,PASS,91.0,[runner] run 999 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:07:28
bounding,1.5,90,PASS,98.4,[runner] run 1000 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:09:11
bounding,1.5,135,PASS,109.0,[runner] run 1001 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:11:05
bounding,2.0,45,PASS,100.0,[runner] run 1002 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:12:51
bounding,2.0,90,PASS,93.3,[runner] run 1003 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:14:29
bounding,2.0,135,PASS,105.4,[runner] run 1004 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:16:20
galloping,1.1,45,PASS,120.3,[runner] run 1005 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:18:27
galloping,1.1,90,PASS,120.1,[runner] run 1006 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:20:33
galloping,1.1,135,PASS,125.0,[runner] run 1007 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:22:44
galloping,1.4,45,FELL,171.1,[runner] run 1008 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 04:25:41
galloping,1.4,90,FELL,166.8,[runner] run 1009 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 04:28:33
galloping,1.4,135,PASS,118.4,[runner] run 1010 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:30:39
pronking,0.8,45,PASS,142.3,[runner] run 1011 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:33:07
pronking,0.8,90,PASS,145.2,[runner] run 1012 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:35:38
pronking,0.8,135,PASS,147.8,[runner] run 1013 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 04:38:13
pronking,1.0,90,FELL,271.0,[runner] run 1015 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 04:45:48
trotting,2.6,45,PASS,56.5,[runner] run 1032 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:12:19
trotting,2.6,90,PASS,58.9,[runner] run 1033 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:13:21
trotting,2.6,135,FELL,33.6,[runner] run 1034 phase=idle  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:13:58
trotting,2.8,45,PASS,54.6,[runner] run 1035 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:14:56
trotting,2.8,90,FELL,48.6,[runner] run 1036 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 10:15:47
trotting,2.8,135,PASS,61.3,[runner] run 1037 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:16:52
galloping,1.2,45,PASS,75.1,[runner] run 1038 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:18:10
galloping,1.2,90,PASS,77.9,[runner] run 1039 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:19:32
galloping,1.2,135,PASS,83.8,[runner] run 1040 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:21:00
galloping,1.3,45,PASS,78.4,[runner] run 1041 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:22:21
galloping,1.3,90,PASS,83.8,[runner] run 1042 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:23:49
galloping,1.3,135,PASS,85.8,[runner] run 1043 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:25:19
pronking,0.9,45,PASS,103.6,[runner] run 1044 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:27:07
pronking,0.9,90,PASS,103.1,[runner] run 1045 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:28:54
pronking,0.9,135,PASS,105.4,[runner] run 1046 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:30:44
pronking,1.0,45,FELL,75.2,[runner] run 1047 phase=idle  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:32:04
pronking,1.0,135,PASS,82.7,[runner] run 1048 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:33:30
trotRunning,4.5,30,PASS,58.6,[runner] run 1055 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:38:55
trotRunning,4.5,60,FELL,114.0,[runner] run 1056 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 10:40:53
trotRunning,4.5,75,PASS,59.6,[runner] run 1057 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:41:57
trotRunning,4.5,105,PASS,74.3,[runner] run 1058 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:43:15
trotRunning,4.5,120,PASS,77.6,[runner] run 1059 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:44:37
trotRunning,4.5,150,FELL,157.7,[runner] run 1060 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 10:47:19
trotRunning,4.5,165,PASS,80.2,[runner] run 1061 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:48:44
walking,2.0,30,PASS,82.6,[runner] run 1062 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:50:11
walking,2.0,60,PASS,79.3,[runner] run 1063 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:51:35
walking,2.0,75,PASS,86.5,[runner] run 1064 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:53:06
walking,2.0,105,PASS,96.9,[runner] run 1065 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:54:47
walking,2.0,120,PASS,94.7,[runner] run 1066 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 10:56:27
walking,2.0,150,FELL,175.0,[runner] run 1067 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 10:59:27
walking,2.0,165,PASS,96.8,[runner] run 1068 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 11:01:09
bounding,2.0,30,FELL,124.7,[runner] run 1069 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 11:03:18
bounding,2.0,60,PASS,94.4,[runner] run 1070 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=1,2026-08-29 11:04:58
bounding,2.0,75,FELL,169.7,[runner] run 1071 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 11:07:53
bounding,2.0,105,FELL,152.3,[runner] run 1072 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 11:10:31
bounding,2.0,120,FELL,123.9,[runner] run 1073 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 11:12:40
bounding,2.0,150,FELL,198.4,[runner] run 1074 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 11:16:05
bounding,2.0,165,PASS,64.6,[runner] run 1118 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:25:53
galloping,1.3,30,PASS,70.6,[runner] run 1119 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:27:06
galloping,1.3,60,PASS,73.1,[runner] run 1120 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:28:23
galloping,1.3,75,PASS,73.6,[runner] run 1121 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:29:40
galloping,1.3,105,PASS,79.7,[runner] run 1122 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:31:03
galloping,1.3,120,PASS,79.8,[runner] run 1123 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:32:26
galloping,1.3,150,PASS,80.5,[runner] run 1124 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:33:50
galloping,1.3,165,PASS,84.9,[runner] run 1125 phase=done  dogs=1  PASS=0 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:35:19
pronking,0.9,30,PASS,98.3,[runner] run 1126 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:37:01
pronking,0.9,60,PASS,97.5,[runner] run 1127 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:38:43
pronking,0.9,75,PASS,101.0,[runner] run 1128 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:40:28
pronking,0.9,105,PASS,100.9,[runner] run 1129 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:42:14
pronking,0.9,120,PASS,103.7,[runner] run 1130 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:44:02
pronking,0.9,150,PASS,106.2,[runner] run 1131 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:45:52
pronking,0.9,165,PASS,114.1,[runner] run 1132 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 12:47:51
bounding,1.5,30,FAIL,15.3,,2026-08-29 16:06:30
bounding,1.5,60,PASS,66.5,[runner] run 1205 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:07:54
bounding,1.5,75,PASS,66.9,[runner] run 1206 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:09:04
bounding,1.5,105,PASS,71.3,[runner] run 1207 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:10:18
bounding,1.5,120,PASS,69.9,[runner] run 1208 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:11:31
bounding,1.5,150,PASS,72.4,[runner] run 1209 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:12:47
bounding,1.5,165,PASS,73.5,[runner] run 1210 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:14:04
galloping,1.1,30,PASS,88.4,[runner] run 1211 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:15:36
galloping,1.1,60,PASS,86.8,[runner] run 1212 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:17:07
galloping,1.1,75,PASS,93.0,[runner] run 1213 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:18:44
galloping,1.1,105,PASS,90.3,[runner] run 1214 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:20:19
galloping,1.1,120,PASS,93.4,[runner] run 1215 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:21:56
galloping,1.1,150,PASS,94.7,[runner] run 1216 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:23:35
galloping,1.1,165,PASS,92.2,[runner] run 1217 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:25:11
galloping,1.2,30,PASS,86.9,[runner] run 1218 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:26:43
galloping,1.2,60,PASS,89.9,[runner] run 1219 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:28:17
galloping,1.2,75,PASS,98.7,[runner] run 1220 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:30:01
galloping,1.2,105,PASS,98.3,[runner] run 1221 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:31:44
galloping,1.2,120,PASS,98.3,[runner] run 1222 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:33:27
galloping,1.2,150,PASS,102.9,[runner] run 1223 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:35:14
galloping,1.2,165,PASS,97.7,[runner] run 1224 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:36:58
pronking,0.8,30,PASS,117.3,[runner] run 1225 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:39:00
pronking,0.8,60,PASS,124.0,[runner] run 1226 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:41:09
pronking,0.8,75,PASS,124.2,[runner] run 1227 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:43:19
pronking,0.8,105,PASS,118.3,[runner] run 1228 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:45:22
pronking,0.8,120,PASS,119.5,[runner] run 1229 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:47:28
pronking,0.8,150,PASS,130.2,[runner] run 1230 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:49:44
pronking,0.8,165,PASS,135.6,[runner] run 1231 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:52:06
trotRunning,4.0,30,PASS,84.4,[runner] run 1232 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:53:37
trotRunning,4.0,60,PASS,95.5,[runner] run 1233 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:55:19
trotRunning,4.0,75,PASS,91.7,[runner] run 1234 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:56:57
trotRunning,4.0,105,PASS,93.5,[runner] run 1235 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 16:58:36
trotRunning,4.0,120,PASS,100.2,[runner] run 1236 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:00:23
trotRunning,4.0,150,PASS,100.1,[runner] run 1237 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:02:10
trotRunning,4.0,165,PASS,103.1,[runner] run 1238 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:03:59
trotting,2.6,30,PASS,92.7,[runner] run 1239 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:05:39
trotting,2.6,60,PASS,94.9,[runner] run 1240 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:07:21
trotting,2.6,75,FELL,160.7,[runner] run 1241 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 17:10:09
trotting,2.6,105,PASS,103.0,[runner] run 1242 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:11:59
trotting,2.6,120,PASS,60.6,[runner] run 1243 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:13:15
trotting,2.6,150,PASS,60.9,[runner] run 1244 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:14:19
trotting,2.6,165,PASS,63.6,[runner] run 1245 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:15:26
trotting,2.8,30,PASS,56.2,[runner] run 1246 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:16:26
trotting,2.8,60,PASS,57.3,[runner] run 1247 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:17:26
trotting,2.8,75,PASS,59.1,[runner] run 1248 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:18:29
trotting,2.8,105,FELL,113.7,[runner] run 1249 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 17:20:27
trotting,2.8,120,PASS,74.8,[runner] run 1250 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:21:45
trotting,2.8,150,PASS,73.1,[runner] run 1251 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:23:02
trotting,2.8,165,FELL,137.6,[runner] run 1252 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 17:25:24
walking,2.5,30,PASS,69.5,[runner] run 1253 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:26:37
